id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,year,primary_position,per90_reliable,npxG_per90,goals_per90,xGChain_per90,xA_per90,key_passes_per90,primary_position_hierarchy,primary_position_minutes
158,Bas Dost,12,819,4,4.29096719622612,2,2.622365429997444,15,11,3,0,F S,Eintracht Frankfurt,3,3.5333522260189056,7.274478621780872,1.9131001457571983,bundesliga,2020,F,True,0.388,0.44,0.799,0.288,1.209,F,F
223,Joshua Kimmich,27,2191,4,2.4796801395714283,10,5.316638592630625,37,64,4,0,M S,Bayern Munich,4,2.4796801395714283,19.53642236441374,15.879371102899311,bundesliga,2020,M,True,0.102,0.164,0.803,0.218,2.629,M,D
262,Leonardo Bittencourt,27,1535,4,3.81171421892941,1,0.8802236896008253,43,17,3,0,F M S,Werder Bremen,3,3.0539381969720125,5.218877417966723,2.1515041776001453,bundesliga,2020,F,True,0.179,0.235,0.306,0.052,0.997,F,M
300,Daniel Didavi,23,968,4,2.87759274430573,3,2.923883318901062,23,26,2,0,F M S,VfB Stuttgart,4,2.87759274430573,6.49139915779233,2.219109097495675,bundesliga,2020,F,True,0.268,0.372,0.604,0.272,2.417,F,M
316,Gonzalo Castro,26,1765,4,3.449237296357751,2,2.8416578574106097,31,42,9,0,M S,VfB Stuttgart,4,3.449237296357751,9.100421667099,4.621512320358306,bundesliga,2020,M,True,0.176,0.204,0.464,0.145,2.142,M,M
1040,Angelino,26,2170,4,4.549379473552108,4,5.8101273868232965,35,53,2,0,D F M S,RasenBallsport Leipzig,4,4.549379473552108,13.65029652416706,7.40554310195148,bundesliga,2020,D,True,0.189,0.166,0.566,0.241,2.198,F,D
2611,Philipp Lienhart,34,2997,4,2.29811280593276,0,0.1154659995809197,9,4,4,0,D M,Freiburg,4,2.29811280593276,6.563692403957248,6.418881110846996,bundesliga,2020,D,True,0.069,0.12,0.197,0.003,0.12,M,D
2631,Karim Onisiwo,31,1844,4,4.838212939910591,0,1.95225827768445,55,19,2,0,F M S,Mainz 05,4,4.838212939910591,8.310807656496763,2.171635951846838,bundesliga,2020,F,True,0.236,0.195,0.406,0.095,0.927,F,F
3349,Ramy Bensebaini,25,1815,4,2.6612920658662915,0,1.2141721975058315,22,10,7,0,D M S,Borussia M.Gladbach,3,1.9035150902345777,5.551079474389553,4.655898850411177,bundesliga,2020,D,True,0.094,0.198,0.275,0.06,0.496,M,D
5257,Willi Orban,29,2354,4,3.4941125977784395,1,0.6733300043269992,22,7,4,0,D S,RasenBallsport Leipzig,4,3.4941125977784395,8.901388732716441,8.138786545023322,bundesliga,2020,D,True,0.134,0.153,0.34,0.026,0.268,D,D
5273,Kerem Demirbay,29,1745,4,3.542001763358712,3,3.290906507521868,44,35,2,0,M S,Bayer Leverkusen,4,3.542001763358712,8.611821599304676,4.1324057430028915,bundesliga,2020,M,True,0.183,0.206,0.444,0.17,1.805,M,M
6228,Luka Jovic,18,888,4,2.790965911000967,0,0.8215078078210354,25,5,2,0,F S,Eintracht Frankfurt,4,2.790965911000967,5.708761340007186,2.772551082074642,bundesliga,2020,F,True,0.283,0.405,0.579,0.083,0.507,F,F
6475,Lucas Höler,33,2100,4,8.56891804561019,4,2.5385501235723495,44,21,5,0,F M S,Freiburg,4,8.56891804561019,12.476927936077118,3.4745119884610176,bundesliga,2020,F,True,0.367,0.171,0.535,0.109,0.9,F,F
6556,Moussa Diaby,32,2400,4,4.85926175955683,10,7.467326698824763,50,45,5,0,D F M S,Bayer Leverkusen,4,4.85926175955683,14.78585029579699,3.3318043015897274,bundesliga,2020,D,True,0.182,0.15,0.554,0.28,1.688,F,F
7267,Woo-Yeong Jeong,26,803,4,1.5147909242659807,0,1.1904618060216308,14,13,0,0,F M S,Freiburg,4,1.5147909242659807,5.029625874012709,2.8268029456958175,bundesliga,2020,F,True,0.17,0.448,0.564,0.133,1.457,F,F
8140,Munas Dabbur,22,1003,4,5.188749678432941,0,0.5485603883862495,28,13,2,0,F M S,Hoffenheim,4,4.431054659187794,6.793062217533588,2.221327908337116,bundesliga,2020,F,True,0.398,0.359,0.61,0.049,1.167,F,F
8191,Giovanni Reyna,32,1985,4,4.2951662465929985,5,4.956997528672218,38,35,1,0,M S,Borussia Dortmund,4,4.2951662465929985,14.247163243591784,8.086229480803013,bundesliga,2020,M,True,0.195,0.181,0.646,0.225,1.587,M,M
88,Mark Uth,20,1499,3,2.927986714988947,1,1.4407714512199163,35,21,5,0,F M S,Schalke 04,3,2.927986714988947,5.1600733157247305,2.2455962719395757,bundesliga,2020,F,True,0.176,0.18,0.31,0.087,1.261,F,F
110,Theodor Gebre Selassie,34,3034,3,1.2961490768939257,1,1.220303876325488,19,18,3,0,D M,Werder Bremen,3,1.2961490768939257,6.43692172318697,4.698421811684966,bundesliga,2020,D,True,0.038,0.089,0.191,0.036,0.534,M,D
131,Jonas Hector,19,1299,3,2.7284650998190045,1,1.79740871489048,27,18,2,0,D M S,FC Cologne,3,2.7284650998190045,5.736773025244474,2.245864352211356,bundesliga,2020,D,True,0.189,0.208,0.397,0.125,1.247,M,M
153,Maximilian Arnold,30,2596,3,2.0052393339574337,6,4.414873599074781,55,49,7,1,M,Wolfsburg,3,2.0052393339574337,10.824792006984351,8.328871803358197,bundesliga,2020,M,True,0.07,0.104,0.375,0.153,1.699,M,D
